case_id,article_id,start,end,surface_text,is_range,value,range_low,range_high,unit,unit_norm,unit_category,linked_entity_start,linked_entity_end,linked_entity_surface,linked_entity_type,link_method,linked_entity_cui,linked_entity_id
PMC10488652_01,PMC10488652,1952,1959,8 hours,False,8,,,hours,hours,time,1841,1862,mycophenolate mofetil,Treatment,same_sentence,C0209368,concept:C0209368
PMC10521634_01,PMC10521634,326,328,4g,False,4,,,g,g,mass,319,324,5-ASA,Treatment,same_sentence,C0127615,concept:C0127615
PMC10521634_01,PMC10521634,713,721,11.5g/dl,False,11.5,,,g/dl,g/dl,lab_concentration,725,739,platelet count,Exam,same_sentence_forward,C0032181,concept:C0032181
PMC10521634_01,PMC10521634,771,777,5mg/dl,False,5,,,mg/dl,mg/dl,lab_concentration,725,739,platelet count,Exam,same_sentence,C0032181,concept:C0032181
PMC10521634_01,PMC10521634,889,895,300 mg,False,300,,,mg,mg,mass,870,880,infections,Diagnosis,same_sentence,C3714514,concept:C3714514
PMC10521634_01,PMC10521634,1006,1013,week 10,False,10,,,week,week,time,996,1000,LMWH,Treatment,window_fallback,C0019139,concept:C0019139
PMC10521634_01,PMC10521634,1152,1160,14 weeks,False,14,,,weeks,weeks,time,1127,1143,bloody discharge,Finding,window_fallback,C0333271,concept:C0333271
PMC10521634_01,PMC10521634,1340,1347,week 26,False,26,,,week,week,time,1317,1326,remission,Finding,window_fallback,C0544452,concept:C0544452
PMC10521634_01,PMC10521634,1945,1951,120 cm,False,120,,,cm,cm,length,1959,1964,colon,BodyPart,same_sentence_forward,C0009368,concept:C0009368
PMC10521634_01,PMC10521634,2431,2434,5mg,False,5,,,mg,mg,mass,2412,2422,biosimilar,Treatment,same_sentence,C4045974,concept:C4045974
PMC10521634_01,PMC10521634,3097,3104,4 weeks,False,4,,,weeks,weeks,time,3109,3112,add,Finding,same_sentence_forward,C5401128,concept:C5401128
